date,PRCP_Illinois,TMAX_Illinois,TMIN_Illinois,PRCP_Indiana,TMAX_Indiana,TMIN_Indiana,PRCP_Iowa,TMAX_Iowa,TMIN_Iowa,PRCP_Nebraska,TMAX_Nebraska,TMIN_Nebraska,PRCP_Ohio,TMAX_Ohio,TMIN_Ohio
2009-06-16 00:00:00,11.3,24.63333333333333,16.75,7.0200000000000005,25.725,17.3625,4.783333333333334,24.025,16.258333333333336,3.4,26.76666666666667,12.216666666666667,0.0,26.825,14.025
2009-06-17 00:00:00,12.433333333333332,25.48333333333333,17.683333333333334,5.459999999999999,26.375,17.5,5.791666666666665,25.05833333333333,16.349999999999998,0.5499999999999999,28.899999999999995,15.55,4.9375,27.55,16.5375
2009-06-18 00:00:00,17.349999999999998,28.34,18.02,0.58,29.025,17.2125,14.44166666666667,30.70833333333333,17.691666666666666,6.7333333333333325,30.16666666666667,14.733333333333334,1.275,28.187500000000004,16.175000000000004
2009-06-19 00:00:00,3.1,31.12,19.44,5.419999999999999,30.4125,18.4875,6.808333333333333,30.98333333333333,19.583333333333336,4.866666666666667,29.35,14.8,6.8875,27.9125,17.575000000000006
2009-06-20 00:00:00,14.833333333333336,31.58333333333333,19.433333333333334,8.690000000000001,30.8375,20.5625,9.375,28.43333333333333,16.708333333333332,0.13333333333333333,26.500000000000004,14.35,18.5375,29.7875,18.814285714285713
2009-06-21 00:00:00,0.9333333333333332,31.28333333333333,20.1,0.4,30.425,20.0625,6.433333333333334,29.39166666666667,19.775,7.866666666666666,27.216666666666665,15.083333333333336,0.0,29.3875,17.4375
2009-06-22 00:00:00,6.25,31.1,21.32,2.7,30.2,20.3625,9.883333333333333,31.35833333333333,20.516666666666666,4.066666666666666,30.36666666666667,15.916666666666664,0.0,28.725,15.9875
2009-06-23 00:00:00,0.13333333333333333,33.660000000000004,22.56,5.48,30.5,19.3,0.3416666666666666,34.05833333333334,21.491666666666664,3.5500000000000003,31.316666666666666,16.933333333333334,0.0,28.88750000000001,16.962500000000002
2009-06-24 00:00:00,0.5499999999999999,34.91666666666667,21.75,0.0,31.6,19.2375,11.766666666666666,33.65,19.341666666666672,12.933333333333335,31.3,16.5,0.0,30.0,16.512500000000006
2009-06-25 00:00:00,0.0,33.800000000000004,22.133333333333336,2.54,33.537499999999994,20.975,1.25,30.774999999999995,20.883333333333333,0.0,32.68333333333334,17.233333333333334,1.0125,31.8875,19.3125
2009-06-26 00:00:00,0.0,32.31666666666666,22.600000000000005,2.76,32.9875,21.05,0.0,32.05,20.6,2.75,31.566666666666666,19.25,11.5625,32.125,19.575000000000006
2009-06-27 00:00:00,1.4,31.68333333333333,19.266666666666666,0.0,31.875,17.9875,0.0,30.45,19.816666666666666,5.316666666666666,29.65,15.45,2.0,29.500000000000004,16.05
2009-06-28 00:00:00,9.05,32.4,19.066666666666666,0.0,30.5625,19.0375,9.92,29.45555555555555,16.022222222222226,0.0,28.21666666666667,9.616666666666667,0.0,28.32500000000001,17.925
2009-06-29 00:00:00,0.0,27.5,17.05,0.0,28.485714285714288,16.75714285714286,,,,0.0,29.75,11.75,0.0375,29.225,14.2375
