Date,Price,Open,High,Low,Vol.,Change %
Nov 02,106.500,106.710,107.100,104.360,28.59K,-0.30%
Dec 02,102.260,106.590,107.380,102.260,38.70K,-3.98%
Jan 03,100.140,102.710,103.670,99.050,22.96K,-2.07%
Feb 03,99.810,100.460,101.100,98.870,24.95K,-0.33%
Mar 03,99.490,99.750,102.680,97.620,43.89K,-0.32%
Apr 03,97.380,99.340,102.190,97.320,30.96K,-2.12%
May 03,93.310,97.350,97.430,92.350,28.04K,-4.18%
Jun 03,95.110,93.810,95.700,92.200,48.34K,1.93%
Jul 03,97.140,94.860,97.800,94.300,37.08K,2.13%
Aug 03,98.100,97.030,99.570,95.670,19.51K,0.99%
Sep 03,93.200,98.200,99.400,92.430,44.38K,-4.99%
Oct 03,92.880,93.110,93.620,91.230,39.62K,-0.34%
Nov 03,90.280,92.860,94.320,90.130,48.76K,-2.80%
Dec 03,87.260,90.150,90.600,86.700,44.66K,-3.35%
Jan 04,87.420,87.070,88.170,85.100,49.34K,0.18%
Feb 04,87.420,87.340,88.130,84.770,52.09K,0.00%
Mar 04,87.950,87.110,89.950,87.110,59.96K,0.61%
Apr 04,90.680,87.900,91.790,87.300,50.79K,3.10%
May 04,88.980,90.810,92.500,88.590,59.18K,-1.87%
Jun 04,89.000,88.680,90.770,88.060,47.90K,0.02%
Jul 04,90.110,89.070,90.490,87.200,56.84K,1.25%
Aug 04,88.960,89.980,90.340,87.730,37.00K,-1.28%
Sep 04,87.510,89.000,89.800,87.490,41.38K,-1.63%
Oct 04,84.980,87.520,88.790,84.850,47.93K,-2.89%
Nov 04,81.820,84.760,85.680,81.600,50.16K,-3.72%
Dec 04,81.000,81.870,83.060,80.480,70.17K,-1.00%
Jan 05,83.640,81.110,84.140,81.110,59.05K,3.26%
Feb 05,82.510,83.570,85.460,82.280,54.02K,-1.35%
Mar 05,84.050,82.680,84.750,81.270,63.82K,1.87%
Apr 05,84.420,84.100,85.310,83.310,60.14K,0.44%
May 05,87.800,84.470,87.800,83.720,71.77K,4.00%
Jun 05,88.980,87.730,89.350,87.120,72.07K,1.34%
Jul 05,89.230,89.010,90.660,88.150,57.20K,0.28%
Aug 05,87.540,89.260,89.350,86.690,93.60K,-1.89%
Sep 05,89.350,87.510,89.600,85.970,86.30K,2.07%
Oct 05,89.930,89.270,90.550,88.350,108.21K,0.65%
Nov 05,91.510,89.940,92.530,89.450,109.35K,1.76%
