,close
0,3.412422286185998
1,3.4974308438495676
2,3.5339410824897493
3,3.434050328817217
4,3.473500491691997
5,3.596673749245183
6,3.6165438836521204
7,3.583255626092149
8,3.506902433684267
9,3.550661494443136
10,3.5678937724187776
11,3.5446026416230287
12,3.4592509329000922
13,3.5293662296646633
14,3.4465229922615497
15,3.4989110373857146
16,3.535210358033654
17,3.6037788324893145
18,3.577984193003533
19,3.6017968889842957
20,3.62691004043783
21,3.58737566933621
22,3.5582525199961044
23,3.6780105649330705
24,3.6201971852818797
25,3.6032723050510356
26,3.603093519050818
27,3.5442445220772716
28,3.6626404958953853
29,3.602127183836138
30,3.6278549050075304
31,3.7441617648420724
32,3.711712629943601
33,3.823385879180588
34,3.796251882628913
35,3.6810164796302125
36,3.795519321430577
37,3.8882830949842457
38,3.888016729662161
39,3.8417300463169637
40,3.85446913350685
41,3.883147153673834
42,3.7451201261555793
43,3.728683973419476
44,3.81357892406764
45,3.8211185563359216
46,3.7803368500623806
47,3.7858467313802993
48,3.7816324906509595
49,3.7693082394465565
50,3.7324201896575113
51,3.8333776677489277
52,3.7893493376573604
53,3.7485301117231025
54,3.7785473005559473
55,3.77050866289496
56,3.779769397308163
57,3.736158233747572
58,3.815047153020643
59,3.7870417003329333
60,3.7682271662381877
61,3.735928680474637
62,3.664480247391001
63,3.676382088209676
64,3.656153326110909
65,3.63102141932508
66,3.6797289788982557
67,3.6724753901608493
68,3.6530654430402287
69,3.554057584706256
70,3.7457523142418703
71,3.7396224553598776
72,3.727011801638799
73,3.7895399562606076
74,3.7849356497662097
75,3.7538986072620943
76,3.83563930348973
77,3.792002432229763
78,3.8228122194221053
79,3.8480021183769115
80,3.837462039237691
81,3.8489201614536235
82,3.905779706089376
83,3.9170176414019457
84,3.901810062757776
85,3.884950364345724
86,3.8562904672252154
87,3.8868188205606806
88,3.760877236378413
89,3.8319367433583826
